Algorithm,Data Size,Data Type,Thread Count,Average Time (ms),Min Time (ms),Max Time (ms),Std Dev,Speedup,Correctness
Parallel Merge Sort,10000,Random,1,2.004,1.997,2.012,0.00513809,1,true
Parallel Merge Sort,10000,Random,2,2.1694,1.989,2.275,0.100554,0.923758,true
Parallel Merge Sort,10000,Random,4,2.1236,2.088,2.164,0.0307285,0.943681,true
Parallel Merge Sort,10000,Random,8,2.0212,1.987,2.1,0.0404742,0.99149,true
Parallel Merge Sort,10000,Random,16,1.952,1.857,2.004,0.05781,1.02664,true
Parallel Merge Sort,10000,Random,32,1.9358,1.922,1.982,0.0231897,1.03523,true
Parallel Merge Sort,10000,Random,64,2.115,1.87,2.263,0.153515,0.947518,true
Parallel Merge Sort,10000,Nearly Sorted,1,1.3292,1.313,1.341,0.0096,1,true
Parallel Merge Sort,10000,Nearly Sorted,2,1.4514,1.323,1.545,0.0813845,0.915805,true
Parallel Merge Sort,10000,Nearly Sorted,4,1.424,1.37,1.48,0.0364582,0.933427,true
Parallel Merge Sort,10000,Nearly Sorted,8,1.3668,1.352,1.392,0.0153023,0.97249,true
Parallel Merge Sort,10000,Nearly Sorted,16,1.3558,1.328,1.398,0.0302285,0.980381,true
Parallel Merge Sort,10000,Nearly Sorted,32,1.3658,1.357,1.384,0.0095373,0.973203,true
Parallel Merge Sort,10000,Nearly Sorted,64,1.5974,1.335,1.787,0.198916,0.832102,true
Parallel Merge Sort,10000,Reverse Sorted,1,1.0962,1.084,1.113,0.00962081,1,true
Parallel Merge Sort,10000,Reverse Sorted,2,1.103,1.095,1.119,0.0085557,0.993835,true
Parallel Merge Sort,10000,Reverse Sorted,4,1.118,1.11,1.127,0.00672309,0.980501,true
Parallel Merge Sort,10000,Reverse Sorted,8,1.1216,1.113,1.133,0.00731027,0.977354,true
Parallel Merge Sort,10000,Reverse Sorted,16,1.1258,1.115,1.137,0.00863481,0.973708,true
Parallel Merge Sort,10000,Reverse Sorted,32,1.1104,1.105,1.125,0.00749933,0.987212,true
Parallel Merge Sort,10000,Reverse Sorted,64,1.1232,1.117,1.128,0.00511468,0.975962,true
Parallel Merge Sort,10000,Few Unique,1,1.516,1.506,1.53,0.00802496,1,true
Parallel Merge Sort,10000,Few Unique,2,1.6612,1.528,1.815,0.0933325,0.912593,true
Parallel Merge Sort,10000,Few Unique,4,1.648,1.604,1.728,0.045664,0.919903,true
Parallel Merge Sort,10000,Few Unique,8,1.5998,1.578,1.669,0.0346837,0.947618,true
Parallel Merge Sort,10000,Few Unique,16,1.5792,1.559,1.6,0.0168808,0.95998,true
Parallel Merge Sort,10000,Few Unique,32,1.5928,1.537,1.631,0.0309542,0.951783,true
Parallel Merge Sort,10000,Few Unique,64,1.948,1.501,2.24,0.25932,0.778234,true
Parallel Merge Sort,100000,Random,1,21.6154,21.582,21.674,0.0338325,1,true
Parallel Merge Sort,100000,Random,2,11.8102,11.294,13.482,0.845756,1.83023,true
Parallel Merge Sort,100000,Random,4,11.496,11.363,11.602,0.0770065,1.88025,true
Parallel Merge Sort,100000,Random,8,11.6316,11.405,11.882,0.204101,1.85833,true
Parallel Merge Sort,100000,Random,16,11.8158,11.528,12.667,0.428258,1.82936,true
Parallel Merge Sort,100000,Random,32,11.9226,11.242,14.199,1.14775,1.81298,true
Parallel Merge Sort,100000,Random,64,13.3518,12.021,16.479,1.59665,1.61891,true
Parallel Merge Sort,100000,Nearly Sorted,1,14.831,14.762,14.88,0.0417229,1,true
Parallel Merge Sort,100000,Nearly Sorted,2,9.7178,9.146,11.441,0.875931,1.52617,true
Parallel Merge Sort,100000,Nearly Sorted,4,9.3358,9.167,9.47,0.128953,1.58862,true
Parallel Merge Sort,100000,Nearly Sorted,8,9.501,9.153,10.297,0.406191,1.56099,true
Parallel Merge Sort,100000,Nearly Sorted,16,9.8144,9.455,10.859,0.527938,1.51115,true
Parallel Merge Sort,100000,Nearly Sorted,32,10.1534,9.636,11.974,0.912056,1.46069,true
Parallel Merge Sort,100000,Nearly Sorted,64,11.0248,9.891,13.276,1.39365,1.34524,true
Parallel Merge Sort,100000,Reverse Sorted,1,12.4472,12.1,12.878,0.342174,1,true
Parallel Merge Sort,100000,Reverse Sorted,2,7.1778,6.813,7.759,0.320935,1.73412,true
Parallel Merge Sort,100000,Reverse Sorted,4,6.9012,6.805,7.131,0.120586,1.80363,true
Parallel Merge Sort,100000,Reverse Sorted,8,8.0504,6.988,8.976,0.809757,1.54616,true
Parallel Merge Sort,100000,Reverse Sorted,16,8.536,7.006,9.146,0.835948,1.4582,true
Parallel Merge Sort,100000,Reverse Sorted,32,8.7316,7.273,9.158,0.73196,1.42553,true
Parallel Merge Sort,100000,Reverse Sorted,64,9.1754,7.257,11.659,1.50685,1.35658,true
Parallel Merge Sort,100000,Few Unique,1,16.4836,16.394,16.521,0.0457323,1,true
Parallel Merge Sort,100000,Few Unique,2,9.2592,8.565,11.205,0.999608,1.78024,true
Parallel Merge Sort,100000,Few Unique,4,8.9082,8.634,9.406,0.30018,1.85039,true
Parallel Merge Sort,100000,Few Unique,8,11.2546,10.94,11.898,0.363636,1.46461,true
Parallel Merge Sort,100000,Few Unique,16,10.9168,9.006,13.796,1.75642,1.50993,true
Parallel Merge Sort,100000,Few Unique,32,9.87,8.943,11.594,1.0128,1.67007,true
Parallel Merge Sort,100000,Few Unique,64,12.1928,10.55,14.331,1.35531,1.35191,true
Parallel Merge Sort,1000000,Random,1,246.995,246.117,247.77,0.652207,1,true
Parallel Merge Sort,1000000,Random,2,130.711,128.524,138.303,3.79884,1.88962,true
Parallel Merge Sort,1000000,Random,4,130.333,129.458,131.337,0.697531,1.8951,true
Parallel Merge Sort,1000000,Random,8,126.364,124.227,128.717,1.74425,1.95462,true
Parallel Merge Sort,1000000,Random,16,123.504,120.823,129.964,3.30274,1.99989,true
Parallel Merge Sort,1000000,Random,32,125.777,123.91,132.134,3.18444,1.96375,true
Parallel Merge Sort,1000000,Random,64,124.052,119.598,128.868,3.40751,1.99107,true
Parallel Merge Sort,1000000,Nearly Sorted,1,165.435,164.378,166.116,0.620435,1,true
Parallel Merge Sort,1000000,Nearly Sorted,2,105.077,101.535,115.313,5.14518,1.57441,true
Parallel Merge Sort,1000000,Nearly Sorted,4,104.056,103.141,105.846,0.966193,1.58987,true
Parallel Merge Sort,1000000,Nearly Sorted,8,101.174,99.787,103.109,1.27465,1.63515,true
Parallel Merge Sort,1000000,Nearly Sorted,16,100.015,97.485,102.756,2.00547,1.65411,true
Parallel Merge Sort,1000000,Nearly Sorted,32,102.47,100.48,104.623,1.68827,1.61448,true
Parallel Merge Sort,1000000,Nearly Sorted,64,101.983,96.11,107.186,4.36142,1.62218,true
Parallel Merge Sort,1000000,Reverse Sorted,1,136.624,135.883,136.931,0.376954,1,true
