Algorithm,Data Size,Data Type,Thread Count,Average Time (ms),Min Time (ms),Max Time (ms),Std Dev,Speedup,Correctness
Parallel Radix Sort,10000,Random,1,1.0004,0.989,1.025,0.0137492,1,true
Parallel Radix Sort,10000,Random,2,1.1142,1.009,1.167,0.0568908,0.897864,true
Parallel Radix Sort,10000,Random,4,1.0956,1.08,1.117,0.0132303,0.913107,true
Parallel Radix Sort,10000,Random,8,1.1018,1.057,1.205,0.0534992,0.907969,true
Parallel Radix Sort,10000,Random,16,1.0348,1.014,1.051,0.0125124,0.966757,true
Parallel Radix Sort,10000,Random,32,1.0296,1.01,1.039,0.0105565,0.971639,true
Parallel Radix Sort,10000,Random,64,1.231,1.036,1.366,0.123009,0.812673,true
Parallel Radix Sort,10000,Nearly Sorted,1,0.9964,0.985,1.003,0.00662118,1,true
Parallel Radix Sort,10000,Nearly Sorted,2,1.0842,0.993,1.144,0.0497892,0.919019,true
Parallel Radix Sort,10000,Nearly Sorted,4,1.0792,1.048,1.105,0.0221215,0.923277,true
Parallel Radix Sort,10000,Nearly Sorted,8,1.0286,0.993,1.095,0.0364341,0.968695,true
Parallel Radix Sort,10000,Nearly Sorted,16,0.983,0.979,0.987,0.00282843,1.01363,true
Parallel Radix Sort,10000,Nearly Sorted,32,0.9938,0.98,1.012,0.0113912,1.00262,true
Parallel Radix Sort,10000,Nearly Sorted,64,1.0786,0.983,1.243,0.0874222,0.92379,true
Parallel Radix Sort,10000,Reverse Sorted,1,0.679,0.658,0.704,0.0152971,1,true
Parallel Radix Sort,10000,Reverse Sorted,2,0.683,0.667,0.698,0.0102176,0.994143,true
Parallel Radix Sort,10000,Reverse Sorted,4,0.679,0.665,0.69,0.00920869,1,true
Parallel Radix Sort,10000,Reverse Sorted,8,0.6842,0.661,0.714,0.0170223,0.9924,true
Parallel Radix Sort,10000,Reverse Sorted,16,0.6772,0.66,0.703,0.0141901,1.00266,true
Parallel Radix Sort,10000,Reverse Sorted,32,0.6816,0.665,0.694,0.00960417,0.996185,true
Parallel Radix Sort,10000,Reverse Sorted,64,0.6856,0.66,0.695,0.0130015,0.990373,true
Parallel Radix Sort,10000,Few Unique,1,0.3326,0.323,0.341,0.00793977,1,true
Parallel Radix Sort,10000,Few Unique,2,0.3756,0.322,0.414,0.0333982,0.885517,true
Parallel Radix Sort,10000,Few Unique,4,0.4338,0.358,0.466,0.0406566,0.766713,true
Parallel Radix Sort,10000,Few Unique,8,0.3766,0.35,0.47,0.0467487,0.883165,true
Parallel Radix Sort,10000,Few Unique,16,0.3958,0.349,0.474,0.0556827,0.840323,true
Parallel Radix Sort,10000,Few Unique,32,0.3972,0.349,0.416,0.0253724,0.837362,true
Parallel Radix Sort,10000,Few Unique,64,0.4348,0.39,0.473,0.0370265,0.764949,true
Parallel Radix Sort,100000,Random,1,15.187,15.087,15.292,0.0828082,1,false
Parallel Radix Sort,100000,Random,2,10.164,9.59,11.531,0.745693,1.4942,false
Parallel Radix Sort,100000,Random,4,5.149,5.058,5.384,0.119039,2.9495,false
Parallel Radix Sort,100000,Random,8,3.3118,3.176,3.759,0.224908,4.58572,false
Parallel Radix Sort,100000,Random,16,2.7334,2.306,4.227,0.747629,5.55608,false
Parallel Radix Sort,100000,Random,32,3.4496,2.681,6.199,1.37558,4.40254,false
Parallel Radix Sort,100000,Random,64,10.9138,4.59,23.681,6.59173,1.39154,false
Parallel Radix Sort,100000,Nearly Sorted,1,15.19,15.079,15.367,0.104374,1,false
Parallel Radix Sort,100000,Nearly Sorted,2,9.9412,9.28,10.789,0.665999,1.52798,false
Parallel Radix Sort,100000,Nearly Sorted,4,5.4024,5.303,5.722,0.160143,2.81171,false
Parallel Radix Sort,100000,Nearly Sorted,8,3.2812,3.161,3.748,0.233442,4.6294,false
Parallel Radix Sort,100000,Nearly Sorted,16,2.561,2.274,3.438,0.44049,5.93128,false
Parallel Radix Sort,100000,Nearly Sorted,32,3.1032,2.514,5.207,1.0528,4.89495,false
Parallel Radix Sort,100000,Nearly Sorted,64,7.7584,4.486,15.857,4.45692,1.95788,false
Parallel Radix Sort,100000,Reverse Sorted,1,14.6842,14.666,14.732,0.0241197,1,false
Parallel Radix Sort,100000,Reverse Sorted,2,9.0798,8.634,9.77,0.454429,1.61724,false
Parallel Radix Sort,100000,Reverse Sorted,4,5.0426,4.984,5.143,0.0531022,2.91203,false
Parallel Radix Sort,100000,Reverse Sorted,8,3.355,3.25,3.646,0.146554,4.37681,false
Parallel Radix Sort,100000,Reverse Sorted,16,2.7746,2.541,3.677,0.451257,5.29237,false
Parallel Radix Sort,100000,Reverse Sorted,32,3.395,2.955,4.974,0.790125,4.32524,false
Parallel Radix Sort,100000,Reverse Sorted,64,5.8548,4.741,9.901,2.02404,2.50806,false
Parallel Radix Sort,100000,Few Unique,1,4.8708,4.858,4.891,0.0111247,1,false
Parallel Radix Sort,100000,Few Unique,2,2.9426,2.694,3.308,0.202439,1.65527,false
Parallel Radix Sort,100000,Few Unique,4,1.723,1.679,1.849,0.0637621,2.82693,false
Parallel Radix Sort,100000,Few Unique,8,1.2724,1.176,1.599,0.163841,3.82804,false
Parallel Radix Sort,100000,Few Unique,16,1.1764,0.985,1.816,0.320321,4.14043,false
Parallel Radix Sort,100000,Few Unique,32,1.4776,1.138,2.726,0.624789,3.29643,false
Parallel Radix Sort,100000,Few Unique,64,3.0696,1.953,7.27,2.1005,1.58679,false
Parallel Radix Sort,500000,Random,1,75.349,75.305,75.41,0.0354514,1,false
Parallel Radix Sort,500000,Random,2,46.6402,45.38,48.567,1.51478,1.61554,false
Parallel Radix Sort,500000,Random,4,24.0912,23.913,24.385,0.172604,3.12766,false
Parallel Radix Sort,500000,Random,8,14.8152,14.346,15.588,0.412709,5.08593,false
Parallel Radix Sort,500000,Random,16,9.507,8.964,11.501,0.998154,7.92563,false
Parallel Radix Sort,500000,Random,32,7.9552,7.27,10.552,1.29863,9.47167,false
Parallel Radix Sort,500000,Random,64,13.6612,9.011,22.687,5.69413,5.51555,false
Parallel Radix Sort,500000,Nearly Sorted,1,75.852,75.262,76.46,0.449093,1,false
Parallel Radix Sort,500000,Nearly Sorted,2,48.0212,47.374,50.366,1.17325,1.57955,false
Parallel Radix Sort,500000,Nearly Sorted,4,24.5672,24.356,24.865,0.199869,3.08753,false
Parallel Radix Sort,500000,Nearly Sorted,8,14.242,14,14.71,0.268014,5.32594,false
Parallel Radix Sort,500000,Nearly Sorted,16,10.013,9.24,12.387,1.19698,7.57535,false
Parallel Radix Sort,500000,Nearly Sorted,32,7.4258,6.895,8.558,0.58308,10.2147,false
Parallel Radix Sort,500000,Nearly Sorted,64,9.642,8.098,14.959,2.66214,7.86683,false
Parallel Radix Sort,500000,Reverse Sorted,1,74.8238,74.639,75.206,0.214554,1,false
Parallel Radix Sort,500000,Reverse Sorted,2,45.0298,44.565,46.768,0.869815,1.66165,false
